scene,prefab_enabled,average_decision_frequency,decision_consistency,adaptability_score
MMM场景,True,0.02699825610889542,0.0025129956192159386,0.8666666666666667
MMM2场景,True,0.023079467143194258,0.03967167908041453,0.9333333333333333
P5vsT8,True,0.019304020272229706,0.006316394253148177,0.6681818181818182
P5vsT8,False,0.02066469319197757,0.0064340668262151575,0.6681818181818182
MMM场景,False,0.030336414480543132,0.0025042167357245014,0.8666666666666667
MMM2场景,False,0.023732312520889365,0.043873523845411024,0.9333333333333333
